010.031.080.000|010.031.080.255|5#教学楼八层||
010.031.081.000|010.031.255.255|5#教学楼||
010.032.000.000|010.100.255.255|未知位置||
010.101.000.000|010.101.255.255|1#教学楼||
010.102.000.000|010.102.255.255|2#办公楼||
010.103.000.000|010.103.255.255|3#教学楼||
010.104.000.000|010.104.255.255|4#教学楼||
010.105.000.000|010.105.255.255|未知||
010.106.000.000|010.106.255.255|6#教学楼||
010.107.000.000|010.107.255.255|7#教学楼||
010.108.000.000|010.108.255.255|中心教学楼||
010.109.000.000|010.109.255.255|8#重点实验室楼||
010.110.000.000|010.110.255.255|求是楼||
010.111.000.000|010.131.255.255|未知位置||
010.132.000.000|010.132.255.255|良乡综合教学楼||
010.133.000.000|010.134.255.255|未知位置||
010.135.000.000|010.135.255.255|良乡行政楼||
010.136.000.000|010.136.255.255|良乡理学楼||
010.137.000.000|010.138.255.255|良乡教学区||
010.139.000.000|010.139.029.255|良乡图书馆楼||
010.139.030.000|010.139.030.255|良乡计算中心机房||
010.139.031.000|010.139.031.255|良乡计算中心5机房||
010.139.032.000|010.139.032.255|良乡计算中心4机房||
010.139.033.000|010.139.033.255|良乡计算中心Linux机房||
010.139.034.000|010.139.039.255|良乡计算中心机房||
010.139.040.000|010.139.255.255|良乡图书馆楼||
010.140.000.000|010.140.255.255|良乡博雅园||
010.141.000.000|010.141.010.255|良乡疏桐园A||
010.141.011.000|010.141.011.255|良乡疏桐园A一层||
010.141.012.000|010.141.020.255|良乡疏桐园A||
010.141.021.000|010.141.021.255|良乡疏桐园A二层||
010.141.022.000|010.141.030.255|良乡疏桐园A||
010.141.031.000|010.141.031.255|良乡疏桐园A三层||
010.141.032.000|010.141.040.255|良乡疏桐园A||
010.141.041.000|010.141.041.255|良乡疏桐园A四层||
010.141.042.000|010.141.050.255|良乡疏桐园A||
010.141.051.000|010.141.051.255|良乡疏桐园A五层||
010.141.052.000|010.141.255.255|良乡疏桐园A||
010.142.000.000|010.142.010.255|良乡疏桐园B||
010.142.011.000|010.142.011.255|良乡疏桐园B一层||
